rank,dataset_id,preferred_dataset_name,dataset_provider,dataset_type,geography,documents_referencing,percent_of_124_document_corpus,doc_ids,document_titles,total_raw_mention_rows,total_page_occurrences,original_names_observed_in_crosswalk,preferred_access_url,canonical_apa_reference
1,DS-007,Global Forest Watch,World Resources Institute,forest monitoring platform and dataset portal,Global,30,24.2,DOC-001; DOC-004; DOC-010; DOC-011; DOC-013; DOC-020; DOC-021; DOC-022; DOC-044; DOC-047; DOC-063; DOC-068; DOC-074; DOC-075; DOC-082; DOC-085; DOC-086; DOC-088; DOC-092; DOC-095; DOC-096; DOC-101; DOC-102; DOC-109; DOC-110; DOC-117; DOC-119; DOC-121; DOC-122; DOC-123,"Cerrado Monitoring Report; Operational Guidance: Monitoring & Verification; TerraFund MRV Feb 2023 (Updated July 2024); SOY RISK 2022 Report, Apresentação do PowerPoint; INVESTMENTS: A Coffee Industry Guidebook on Landscape and Jurisdictional Initiaves; 211224 herewegrow enveritas deforestation white paper web; Sector supply-chain guidance – palm; Regulation on deforestation-free products; Common Guidance for the Identification of HCV; HCSA Toolkit v2.0 Module 7 Assuring quality of HCS assessments 1; Guidance on the collection of polygon location data; LDC DCF Methodology FINAL; Guidance for refineries and other first aggregators: Using the IRF no-deforestation and no-peat template. NDPE Implementation Reporting Framework; NEPCon SOY Argentinal Risk Assessment EN V2; Due Diligence Toolkit; DD 14 Deforestation Risk Assessment Guide; DD 16 Digital Tools for Responsible Sourc; EU Regulation on Deforestation-Free Products: Reference Document for Cocoa Producers and Importers; Protecting Forests Open Data Proforest Report; Risk Benchmarking for the EUDR: Key principles & recommendations; wcf quantis ghg accounting for cocoa 20250715; universal mill list standardized methodology creating global database palm oil mills; Olam Food Ingredients and Satelligence present: Scaling the Forest Loss Risk Index (FLRI) approach across landscapes; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Forest Data Partnership (Transparent Supply Chains); Agricultural Sector Roadmap to 1.5 C; Establishing best practices and evaluating data and methods for forest monitoring; GFW Pro Help Center; WRI Cocoa DRA ghana; Global Forest Watch Pro Platform Analysis 11 05 2026",177,393,Global Forest Watch; GFW; GFW Pro; GFW PRO,https://www.globalforestwatch.org/,World Resources Institute. (n.d.). Global Forest Watch. https://www.globalforestwatch.org/
2,DS-017,Planet satellite imagery / NICFI Satellite Data Program,Planet Labs / Norway International Climate and Forest Initiative,remote sensing imagery source,Tropics/global depending on product,30,24.2,DOC-004; DOC-007; DOC-018; DOC-020; DOC-025; DOC-027; DOC-030; DOC-031; DOC-035; DOC-037; DOC-038; DOC-039; DOC-044; DOC-053; DOC-064; DOC-067; DOC-078; DOC-080; DOC-085; DOC-086; DOC-087; DOC-096; DOC-101; DOC-104; DOC-106; DOC-108; DOC-109; DOC-119; DOC-121; DOC-122,"Operational Guidance: Monitoring & Verification; AFI LUC and Emissions Guidance 09 2022 FINALIZED FROM AFi; ILM Practical Guide DEC22; 211224 herewegrow enveritas deforestation white paper web; CELEX 32023R1115 EN TXT; DIASCA Forest Monitoring Guidance; Assessment methodology; Forest 500 Report; TraceMark sustainable sourcing monitoring runs on Google Cloud; Law No. 12,651 (Forest Code / Native Vegetation Protection Law); Corporate Value Chain (Scope 3) Standard; Land Sector and Removals Guidance; Common Guidance for the Identification of HCV; HCSA Toolkit v2.0 Module 1 Introduction; Code of Good Practice for Sustainability Systems; Making Credible Jurisdictional Claims Good Practice Guide v1 1; OECD-FAO Guidance for Responsible Agricultural Supply Chains; P4F Learning About Cocoa Landscape Approaches Online; DD 14 Deforestation Risk Assessment Guide; DD 16 Digital Tools for Responsible Sourc; Assessing and planning the implementation of soy sourcing commitments (Soy Toolkit Briefing Note 01, Version 1.1); wcf quantis ghg accounting for cocoa 20250715; universal mill list standardized methodology creating global database palm oil mills; Monitoring through satellite images: methodological supplement; tnc environmentalframeworksoy eng; The Beijing Brasilia effect; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Establishing best practices and evaluating data and methods for forest monitoring; GFW Pro Help Center; WRI Cocoa DRA ghana",57,70,planet; NICFI; Planet; PLANET,https://www.planet.com/nicfi/,Planet Labs. (n.d.). NICFI Satellite Data Program. https://www.planet.com/nicfi/
3,DS-001,PRODES Amazônia — Monitoramento do Desmatamento da Floresta Amazônica Brasileira por Satélite,Instituto Nacional de Pesquisas Espaciais (INPE),forest/deforestation monitoring dataset,Brazilian Legal Amazon,28,22.6,DOC-001; DOC-002; DOC-003; DOC-004; DOC-016; DOC-019; DOC-027; DOC-036; DOC-043; DOC-044; DOC-056; DOC-057; DOC-058; DOC-059; DOC-060; DOC-068; DOC-086; DOC-091; DOC-092; DOC-095; DOC-104; DOC-107; DOC-108; DOC-109; DOC-116; DOC-117; DOC-120; DOC-124,"Cerrado Monitoring Report; Socio-Environmental Criteria; Library; MORATÓRIA DA SOJA Desmatamento-zero na Amazônia Monitoramento da soja por imagens de satélites SAFRA 2022/23; Operational Guidance: Monitoring & Verification; CGF Forest Positive Beef Roadmap Guidance V1.2; Econometrica Review of Deforestation Risk Maps 1; DIASCA Forest Monitoring Guidance; PROTOCOLO DE MONITORAMENTO DE FORNECEDORES DE GADO DA AMAZÔNIA; Boas Práticas para monitoramento de fornecedores indiretos (converted to PDF from Website); Common Guidance for the Identification of HCV; Soja sem desmatamento nas entrelinhas: Um guia para transparência. Soja na Linha; Guia para a cadeia de valor da soja: Interpretando os relatórios de progresso de traders para compras livres de desmatamento e de conversão. Soja na Linha; Protocolo de monitoramento de fornecedores de gado na Amazônia; Minimum Criteria Booklet SOY ENG; Minimum Criteria Booklet CATTLE ENG; LDC DCF Methodology FINAL; DD 16 Digital Tools for Responsible Sourc; English piloto EUDR Proforest en 26 03 RF; Protecting Forests Open Data Proforest Report; Risk Benchmarking for the EUDR: Key principles & recommendations; Monitoring through satellite images: methodological supplement; Supply chain mapping manual: SEI-PCS; The Beijing Brasilia effect; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Progress Report & risk assessment methodology; Agricultural Sector Roadmap to 1.5 C; ""BRAZIL-CHINA | COMPLIANCE WITH BRAZILIAN LEGISLATION AND ADDITIONAL CRITERIA FOR DEFORESTATION AND CONVERSION-FREE PRACTICE""; Minimum Monitoring Criteria for Deforestation and Conversion-Free (DCF) Products – for Commodities Originating in Brazil. - Sy Maize Cotton",90,186,PRODES; prodes; PRODES Amazônia; Prodes,https://terrabrasilis.dpi.inpe.br/,Instituto Nacional de Pesquisas Espaciais. (n.d.). PRODES: Monitoramento do Desmatamento da Floresta Amazônica Brasileira por Satélite. TerraBrasilis. https://terrabrasilis.dpi.inpe.br/
4,DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,forest extent and tree-cover-loss dataset,Global,27,21.8,DOC-004; DOC-010; DOC-013; DOC-019; DOC-020; DOC-038; DOC-039; DOC-044; DOC-068; DOC-077; DOC-082; DOC-085; DOC-088; DOC-096; DOC-097; DOC-100; DOC-102; DOC-108; DOC-109; DOC-110; DOC-112; DOC-117; DOC-118; DOC-119; DOC-121; DOC-122; DOC-123,"Operational Guidance: Monitoring & Verification; TerraFund MRV Feb 2023 (Updated July 2024); INVESTMENTS: A Coffee Industry Guidebook on Landscape and Jurisdictional Initiaves; Econometrica Review of Deforestation Risk Maps 1; 211224 herewegrow enveritas deforestation white paper web; Corporate Value Chain (Scope 3) Standard; Land Sector and Removals Guidance; Common Guidance for the Identification of HCV; LDC DCF Methodology FINAL; A comprehensive EUDR Guide; Due Diligence Toolkit; DD 14 Deforestation Risk Assessment Guide; EU Regulation on Deforestation-Free Products: Reference Document for Cocoa Producers and Importers; wcf quantis ghg accounting for cocoa 20250715; The Rainforest Alliance Approach to EUDR; GeoRSPO platform (converted to PDF from Website); Olam Food Ingredients and Satelligence present: Scaling the Forest Loss Risk Index (FLRI) approach across landscapes; The Beijing Brasilia effect; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Forest Data Partnership (Transparent Supply Chains); Towards a digital public infrastructure for deforestation-related trade regulations, What is in that plot? (Whisp) solution to implement convergence of evidence; Agricultural Sector Roadmap to 1.5 C; Deforestation Risk Assessment Methodology; Establishing best practices and evaluating data and methods for forest monitoring; GFW Pro Help Center; WRI Cocoa DRA ghana; Global Forest Watch Pro Platform Analysis 11 05 2026",140,264,tree cover loss; Hansen; Tree cover loss; Global Forest Change; Tree Cover Loss; Hansen Tree Cover Loss; hansen; Hansen tree cover loss,https://developers.google.com/earth-engine/datasets/catalog/UMD_hansen_global_forest_change_2024_v1_12,Hansen/UMD/Google/USGS/NASA. (2024). Hansen Global Forest Change v1.12 (2000–2024). Google Earth Engine Data Catalog. https://developers.google.com/earth-engine/datasets/catalog/UMD_hansen_global_forest_change_2024_v1_12
5,DS-005,MapBiomas Annual Land Cover and Land Use Collection,Projeto MapBiomas,land use / land cover time series dataset,Brazil and other MapBiomas initiatives,23,18.5,DOC-001; DOC-004; DOC-011; DOC-014; DOC-016; DOC-019; DOC-044; DOC-058; DOC-059; DOC-060; DOC-068; DOC-085; DOC-086; DOC-091; DOC-095; DOC-106; DOC-108; DOC-109; DOC-116; DOC-117; DOC-120; DOC-121; DOC-124,"Cerrado Monitoring Report; Operational Guidance: Monitoring & Verification; SOY RISK 2022 Report, Apresentação do PowerPoint; CGF FPC Soy DCF Methodology v0; CGF Forest Positive Beef Roadmap Guidance V1.2; Econometrica Review of Deforestation Risk Maps 1; Common Guidance for the Identification of HCV; Protocolo de monitoramento de fornecedores de gado na Amazônia; Minimum Criteria Booklet SOY ENG; Minimum Criteria Booklet CATTLE ENG; LDC DCF Methodology FINAL; DD 14 Deforestation Risk Assessment Guide; DD 16 Digital Tools for Responsible Sourc; English piloto EUDR Proforest en 26 03 RF; Risk Benchmarking for the EUDR: Key principles & recommendations; tnc environmentalframeworksoy eng; The Beijing Brasilia effect; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Progress Report & risk assessment methodology; Agricultural Sector Roadmap to 1.5 C; ""BRAZIL-CHINA | COMPLIANCE WITH BRAZILIAN LEGISLATION AND ADDITIONAL CRITERIA FOR DEFORESTATION AND CONVERSION-FREE PRACTICE""; GFW Pro Help Center; Minimum Monitoring Criteria for Deforestation and Conversion-Free (DCF) Products – for Commodities Originating in Brazil. - Sy Maize Cotton",56,107,MapBiomas; MapBiomas Collection; mapbiomas; Mapbiomas; MAPBIOMAS,https://brasil.mapbiomas.org/en/colecoes-mapbiomas/,Projeto MapBiomas. (n.d.). Coleções MapBiomas. https://brasil.mapbiomas.org/en/colecoes-mapbiomas/
6,DS-014,Landsat satellite imagery,U.S. Geological Survey / NASA,remote sensing imagery source,Global,22,17.7,DOC-001; DOC-004; DOC-010; DOC-011; DOC-019; DOC-020; DOC-027; DOC-037; DOC-044; DOC-082; DOC-085; DOC-091; DOC-095; DOC-096; DOC-097; DOC-102; DOC-104; DOC-109; DOC-118; DOC-119; DOC-121; DOC-123,"Cerrado Monitoring Report; Operational Guidance: Monitoring & Verification; TerraFund MRV Feb 2023 (Updated July 2024); SOY RISK 2022 Report, Apresentação do PowerPoint; Econometrica Review of Deforestation Risk Maps 1; 211224 herewegrow enveritas deforestation white paper web; DIASCA Forest Monitoring Guidance; Law No. 12,651 (Forest Code / Native Vegetation Protection Law); Common Guidance for the Identification of HCV; Due Diligence Toolkit; DD 14 Deforestation Risk Assessment Guide; English piloto EUDR Proforest en 26 03 RF; Risk Benchmarking for the EUDR: Key principles & recommendations; wcf quantis ghg accounting for cocoa 20250715; The Rainforest Alliance Approach to EUDR; Olam Food Ingredients and Satelligence present: Scaling the Forest Loss Risk Index (FLRI) approach across landscapes; Monitoring through satellite images: methodological supplement; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Deforestation Risk Assessment Methodology; Establishing best practices and evaluating data and methods for forest monitoring; GFW Pro Help Center; Global Forest Watch Pro Platform Analysis 11 05 2026",56,104,Landsat; LANDSAT; landsat,https://www.usgs.gov/landsat-missions,U.S. Geological Survey. (n.d.). Landsat missions. https://www.usgs.gov/landsat-missions
7,DS-026,Trase / SEI-PCS supply chain mapping data,Trase / Stockholm Environment Institute / Global Canopy,supply-chain mapping and spatially explicit trade-flow data,Commodity-specific producer countries and markets,21,16.9,DOC-004; DOC-014; DOC-015; DOC-016; DOC-031; DOC-044; DOC-049; DOC-085; DOC-088; DOC-089; DOC-091; DOC-092; DOC-095; DOC-105; DOC-106; DOC-107; DOC-108; DOC-109; DOC-119; DOC-121; DOC-123,Operational Guidance: Monitoring & Verification; CGF FPC Soy DCF Methodology v0; CGF FPC Soy Roadmap Guidance; CGF Forest Positive Beef Roadmap Guidance V1.2; Forest 500 Report; Common Guidance for the Identification of HCV; Compact Manual; DD 14 Deforestation Risk Assessment Guide; EU Regulation on Deforestation-Free Products: Reference Document for Cocoa Producers and Importers; Verified Deforestation and Conversion Free (V-DCF): Generic methodology and approach (Version 2.0); English piloto EUDR Proforest en 26 03 RF; Protecting Forests Open Data Proforest Report; Risk Benchmarking for the EUDR: Key principles & recommendations; What Is Supply Chain Mapping SEI PCS; tnc environmentalframeworksoy eng; Supply chain mapping manual: SEI-PCS; The Beijing Brasilia effect; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Establishing best practices and evaluating data and methods for forest monitoring; GFW Pro Help Center; Global Forest Watch Pro Platform Analysis 11 05 2026,109,299,Trase; trase; SEI-PCS; TRASE,https://trase.earth/,Trase. (n.d.). Trase: Transparency for sustainable economies. https://trase.earth/
8,DS-018,Cadastro Ambiental Rural (CAR) / SICAR,Serviço Florestal Brasileiro / Government of Brazil,rural property environmental registry,Brazil,20,16.1,DOC-001; DOC-002; DOC-011; DOC-016; DOC-036; DOC-043; DOC-056; DOC-057; DOC-058; DOC-059; DOC-060; DOC-073; DOC-091; DOC-092; DOC-106; DOC-109; DOC-116; DOC-117; DOC-120; DOC-124,"Cerrado Monitoring Report; Socio-Environmental Criteria; Library; SOY RISK 2022 Report, Apresentação do PowerPoint; CGF Forest Positive Beef Roadmap Guidance V1.2; PROTOCOLO DE MONITORAMENTO DE FORNECEDORES DE GADO DA AMAZÔNIA; Boas Práticas para monitoramento de fornecedores indiretos (converted to PDF from Website); Soja sem desmatamento nas entrelinhas: Um guia para transparência. Soja na Linha; Guia para a cadeia de valor da soja: Interpretando os relatórios de progresso de traders para compras livres de desmatamento e de conversão. Soja na Linha; Protocolo de monitoramento de fornecedores de gado na Amazônia; Minimum Criteria Booklet SOY ENG; Minimum Criteria Booklet CATTLE ENG; VISIPEC: Executive Summary; English piloto EUDR Proforest en 26 03 RF; Protecting Forests Open Data Proforest Report; tnc environmentalframeworksoy eng; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Progress Report & risk assessment methodology; Agricultural Sector Roadmap to 1.5 C; ""BRAZIL-CHINA | COMPLIANCE WITH BRAZILIAN LEGISLATION AND ADDITIONAL CRITERIA FOR DEFORESTATION AND CONVERSION-FREE PRACTICE""; Minimum Monitoring Criteria for Deforestation and Conversion-Free (DCF) Products – for Commodities Originating in Brazil. - Sy Maize Cotton",106,218,Rural Environmental Registry; CAR; SICAR; Cadastro Ambiental Rural,https://www.car.gov.br/,Serviço Florestal Brasileiro. (n.d.). Cadastro Ambiental Rural / SICAR. https://www.car.gov.br/
9,DS-025,Soy Moratorium monitoring data,Soy Moratorium Working Group / ABIOVE and partners,commodity monitoring dataset/reporting system,Brazilian Amazon,18,14.5,DOC-002; DOC-003; DOC-004; DOC-007; DOC-009; DOC-014; DOC-015; DOC-044; DOC-059; DOC-075; DOC-085; DOC-091; DOC-095; DOC-104; DOC-106; DOC-109; DOC-117; DOC-126,Socio-Environmental Criteria; Library; MORATÓRIA DA SOJA Desmatamento-zero na Amazônia Monitoramento da soja por imagens de satélites SAFRA 2022/23; Operational Guidance: Monitoring & Verification; AFI LUC and Emissions Guidance 09 2022 FINALIZED FROM AFi; AFi Operatonal Guidance Cutoff Dates (2023 09); CGF FPC Soy DCF Methodology v0; CGF FPC Soy Roadmap Guidance; Common Guidance for the Identification of HCV; Minimum Criteria Booklet SOY ENG; NEPCon SOY Argentinal Risk Assessment EN V2; DD 14 Deforestation Risk Assessment Guide; English piloto EUDR Proforest en 26 03 RF; Risk Benchmarking for the EUDR: Key principles & recommendations; Monitoring through satellite images: methodological supplement; tnc environmentalframeworksoy eng; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Agricultural Sector Roadmap to 1.5 C; Introducing DCF Minimum Criteria and Operationalizing the AFI in Brazil,74,125,Soy Moratorium; Amazon Soy Moratorium; soy moratorium,https://moratoriadasoja.com.br/,Grupo de Trabalho da Moratória da Soja. (n.d.). Moratória da Soja. https://moratoriadasoja.com.br/
10,DS-020,FUNAI Terras Indígenas geospatial data,Fundação Nacional dos Povos Indígenas (FUNAI),indigenous territories geospatial data,Brazil,18,14.5,DOC-001; DOC-002; DOC-003; DOC-016; DOC-019; DOC-036; DOC-056; DOC-057; DOC-058; DOC-059; DOC-060; DOC-075; DOC-091; DOC-104; DOC-106; DOC-109; DOC-120; DOC-124,"Cerrado Monitoring Report; Socio-Environmental Criteria; Library; MORATÓRIA DA SOJA Desmatamento-zero na Amazônia Monitoramento da soja por imagens de satélites SAFRA 2022/23; CGF Forest Positive Beef Roadmap Guidance V1.2; Econometrica Review of Deforestation Risk Maps 1; PROTOCOLO DE MONITORAMENTO DE FORNECEDORES DE GADO DA AMAZÔNIA; Soja sem desmatamento nas entrelinhas: Um guia para transparência. Soja na Linha; Guia para a cadeia de valor da soja: Interpretando os relatórios de progresso de traders para compras livres de desmatamento e de conversão. Soja na Linha; Protocolo de monitoramento de fornecedores de gado na Amazônia; Minimum Criteria Booklet SOY ENG; Minimum Criteria Booklet CATTLE ENG; NEPCon SOY Argentinal Risk Assessment EN V2; English piloto EUDR Proforest en 26 03 RF; Monitoring through satellite images: methodological supplement; tnc environmentalframeworksoy eng; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; ""BRAZIL-CHINA | COMPLIANCE WITH BRAZILIAN LEGISLATION AND ADDITIONAL CRITERIA FOR DEFORESTATION AND CONVERSION-FREE PRACTICE""; Minimum Monitoring Criteria for Deforestation and Conversion-Free (DCF) Products – for Commodities Originating in Brazil. - Sy Maize Cotton",54,69,Indigenous Lands; Terras Indígenas; FUNAI; indigenous lands; terras indígenas; Indigenous lands,https://www.gov.br/funai/pt-br/atuacao/terras-indigenas/geoprocessamento-e-mapas,Fundação Nacional dos Povos Indígenas. (n.d.). Terras Indígenas: Dados geoespaciais e mapas. https://www.gov.br/funai/pt-br/atuacao/terras-indigenas/geoprocessamento-e-mapas
