org_id,canonical_org_name,apa_author_form,alternative_names,publisher_role,country_or_region,website_url,linked_doc_ids,bibliography_alignment_status,notes
ORG-001,ABIOVE,ABIOVE,Associação Brasileira das Indústrias de Óleos Vegetais; Brazilian Association of Vegetable Oil Industries,industry association / publisher,Brazil,https://abiove.org.br/,DOC-001; DOC-002; DOC-003,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-002,Accountability Framework initiative (AFi),Accountability Framework initiative,AFi; Accountability Framework; Accountability Framework Initiative,multi-stakeholder initiative / guidance publisher,Global,https://accountability-framework.org/,DOC-004; DOC-005; DOC-006; DOC-007; DOC-008; DOC-009,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-003,AFR100 Terra-Fund,AFR100 / TerraFund for AFR100,AFR100; TerraFund for AFR100; TerraFund,restoration initiative / fund platform,Africa / Global,https://www.africa.terramatch.org/,DOC-010,linked_to_B1,Canonical organization name corrected per user instruction from AFR100 Terra-Fund to AFR100 Terra-Fund.
ORG-004,Agrosatélite,Agrosatélite,Agrosatelite; AgroSatélite Geotecnologia Aplicada,geospatial analytics / report publisher,Brazil,https://www.agrosatelite.com.br/,DOC-011,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-005,Alliance of Bioversity International and CIAT,Alliance of Bioversity International and CIAT,Bioversity International; CIAT; Alliance Bioversity-CIAT,research organization / publisher,Global / Italy,https://alliancebioversityciat.org/,DOC-119,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-006,Carbon Disclosure Project (CDP.net),CDP,Carbon Disclosure Project; CDP.net,disclosure platform / guidance publisher,Global / United Kingdom,https://www.cdp.net/en,DOC-012,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-007,Conservation International,Conservation International,CI,conservation NGO / publisher,Global / United States,https://www.conservation.org/,DOC-013,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-008,Consumer Goods Forum (CGF),Consumer Goods Forum,CGF; The Consumer Goods Forum,industry network / guidance publisher,Global,https://www.theconsumergoodsforum.com/,DOC-014; DOC-015; DOC-016,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-010,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,GIZ; Deutsche Gesellschaft für Internationale Zusammenarbeit,development agency / publisher,Germany / Global,https://www.giz.de/en,DOC-017,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-012,EcoAgriculture Partners,EcoAgriculture Partners,EcoAgriculture,landscape partnership / publisher,Global / United States,https://ecoagriculture.org/,DOC-018,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
