dataset_id,preferred_dataset_name,dataset_provider,dataset_type,geography,preferred_access_url,canonical_apa_reference,web_verification_status,source_basis,documents_referencing_stageA_mapped,raw_mention_rows_mapped,page_occurrences_mapped,original_names_observed,stageB_registry_status
DS-007,Global Forest Watch,World Resources Institute,forest monitoring platform and dataset portal,Global,https://www.globalforestwatch.org/,World Resources Institute. (n.d.). Global Forest Watch. https://www.globalforestwatch.org/,web verified - official GFW/WRI,"Official GFW site describes forest monitoring, alerts, dashboards, and downloadable datasets.",30,177,393,GFW; GFW Pro; GFW PRO; Global Forest Watch,observed_in_corpus
DS-017,Planet satellite imagery / NICFI Satellite Data Program,Planet Labs / Norway International Climate and Forest Initiative,remote sensing imagery source,Tropics/global depending on product,https://www.planet.com/nicfi/,Planet Labs. (n.d.). NICFI Satellite Data Program. https://www.planet.com/nicfi/,web seeded - official provider page recommended,Grouped for Planet/NICFI imagery references; exact Planet product should be refined where the corpus states it.,30,57,70,NICFI; planet; Planet; PLANET,observed_in_corpus
DS-001,PRODES Amazônia — Monitoramento do Desmatamento da Floresta Amazônica Brasileira por Satélite,Instituto Nacional de Pesquisas Espaciais (INPE),forest/deforestation monitoring dataset,Brazilian Legal Amazon,https://terrabrasilis.dpi.inpe.br/,Instituto Nacional de Pesquisas Espaciais. (n.d.). PRODES: Monitoramento do Desmatamento da Floresta Amazônica Brasileira por Satélite. TerraBrasilis. https://terrabrasilis.dpi.inpe.br/,web verified - official INPE/TerraBrasilis,Official TerraBrasilis/INPE source; PRODES monitors clear-cut deforestation and provides annual rates.,28,90,186,PRODES; prodes; Prodes; PRODES Amazônia,observed_in_corpus
DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,forest extent and tree-cover-loss dataset,Global,https://developers.google.com/earth-engine/datasets/catalog/UMD_hansen_global_forest_change_2024_v1_12,Hansen/UMD/Google/USGS/NASA. (2024). Hansen Global Forest Change v1.12 (2000–2024). Google Earth Engine Data Catalog. https://developers.google.com/earth-engine/datasets/catalog/UMD_hansen_global_forest_change_2024_v1_12,web verified - Google Earth Engine catalog,"Google Earth Engine catalog identifies provider, bands, pixel size, and temporal extent.",27,140,264,Global Forest Change; Hansen; hansen; Hansen tree cover loss; Hansen Tree Cover Loss; tree cover loss; Tree cover loss; Tree Cover Loss,observed_in_corpus
DS-005,MapBiomas Annual Land Cover and Land Use Collection,Projeto MapBiomas,land use / land cover time series dataset,Brazil and other MapBiomas initiatives,https://brasil.mapbiomas.org/en/colecoes-mapbiomas/,Projeto MapBiomas. (n.d.). Coleções MapBiomas. https://brasil.mapbiomas.org/en/colecoes-mapbiomas/,web verified - public MapBiomas source,MapBiomas annual land use/land cover collections are published as a time series and commonly cited by collection.,23,56,107,MapBiomas; mapbiomas; Mapbiomas; MAPBIOMAS; MapBiomas Collection,observed_in_corpus
DS-014,Landsat satellite imagery,U.S. Geological Survey / NASA,remote sensing imagery source,Global,https://www.usgs.gov/landsat-missions,U.S. Geological Survey. (n.d.). Landsat missions. https://www.usgs.gov/landsat-missions,web seeded - official provider page recommended,"Widely used satellite-image source; official source URL retained for Stage B, but exact product/version should be refined if needed.",22,56,104,Landsat; LANDSAT; landsat,observed_in_corpus
DS-026,Trase / SEI-PCS supply chain mapping data,Trase / Stockholm Environment Institute / Global Canopy,supply-chain mapping and spatially explicit trade-flow data,Commodity-specific producer countries and markets,https://trase.earth/,Trase. (n.d.). Trase: Transparency for sustainable economies. https://trase.earth/,web verified - SEI/Trase methodology pages,SEI describes Trase as a data-driven transparency initiative using SEI-PCS to map supply chains.,21,109,299,SEI-PCS; Trase; trase; TRASE,observed_in_corpus
DS-018,Cadastro Ambiental Rural (CAR) / SICAR,Serviço Florestal Brasileiro / Government of Brazil,rural property environmental registry,Brazil,https://www.car.gov.br/,Serviço Florestal Brasileiro. (n.d.). Cadastro Ambiental Rural / SICAR. https://www.car.gov.br/,web verified - Government of Brazil service pages,CAR/SICAR is the Brazilian national rural environmental registry; public service pages describe it as a national electronic registry and platform.,20,106,218,Cadastro Ambiental Rural; CAR; Rural Environmental Registry; SICAR,observed_in_corpus
DS-025,Soy Moratorium monitoring data,Soy Moratorium Working Group / ABIOVE and partners,commodity monitoring dataset/reporting system,Brazilian Amazon,https://moratoriadasoja.com.br/,Grupo de Trabalho da Moratória da Soja. (n.d.). Moratória da Soja. https://moratoriadasoja.com.br/,web seeded - public initiative source recommended,Mentions of Soy Moratorium/Amazon Soy Moratorium are harmonized to the public initiative and its monitoring outputs.,18,74,125,Amazon Soy Moratorium; Soy Moratorium; soy moratorium,observed_in_corpus
DS-020,FUNAI Terras Indígenas geospatial data,Fundação Nacional dos Povos Indígenas (FUNAI),indigenous territories geospatial data,Brazil,https://www.gov.br/funai/pt-br/atuacao/terras-indigenas/geoprocessamento-e-mapas,Fundação Nacional dos Povos Indígenas. (n.d.). Terras Indígenas: Dados geoespaciais e mapas. https://www.gov.br/funai/pt-br/atuacao/terras-indigenas/geoprocessamento-e-mapas,web verified - official FUNAI,FUNAI page provides geospatial data for Indigenous lands in multiple formats and notes periodic updates.,18,54,69,FUNAI; Indigenous Lands; indigenous lands; Indigenous lands; Terras Indígenas; terras indígenas,observed_in_corpus
DS-015,Copernicus Sentinel satellite imagery,European Space Agency / Copernicus,remote sensing imagery source,Global,https://dataspace.copernicus.eu/explore-data/data-collections/sentinel-data,Copernicus Data Space Ecosystem. (n.d.). Sentinel data. https://dataspace.copernicus.eu/explore-data/data-collections/sentinel-data,web seeded - official provider page recommended,Grouped for generic Sentinel mentions; Sentinel-1 and Sentinel-2 are kept as observed variants.,17,87,155,Sentinel; Sentinel-1; Sentinel-2; sentinel-2,observed_in_corpus
DS-009,GLAD Deforestation Alerts,University of Maryland GLAD Lab / Global Forest Watch,near-real-time deforestation alert dataset,Tropics,https://www.globalforestwatch.org/blog/data-and-tools/glad-deforestation-alerts/,"Global Forest Watch. (2020). GLAD deforestation alerts, explained. https://www.globalforestwatch.org/blog/data-and-tools/glad-deforestation-alerts/",web verified - GFW explanation and UMD GLAD source,GFW explains GLAD alerts as UMD GLAD Landsat-based weekly tropical forest disturbance alerts.,15,47,77,deforestation alert system; GLAD; GLAD alerts,observed_in_corpus
DS-019,IBAMA environmental embargo registry,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA),environmental embargo/compliance list,Brazil,https://dadosabertos.ibama.gov.br/,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis. (n.d.). Dados abertos do IBAMA. https://dadosabertos.ibama.gov.br/,web seeded - official data portal recommended,IBAMA mentions often refer to embargo lists or environmental infraction/compliance data; exact dataset should be confirmed by document context.,13,33,51,embargo list; Embargo List; IBAMA,observed_in_corpus
DS-003,DETER — Detecção do Desmatamento em Tempo Real,Instituto Nacional de Pesquisas Espaciais (INPE),near-real-time deforestation alert dataset,"Brazilian biomes, especially Amazon/Cerrado",https://terrabrasilis.dpi.inpe.br/,Instituto Nacional de Pesquisas Espaciais. (n.d.). DETER: Detecção do Desmatamento em Tempo Real. TerraBrasilis. https://terrabrasilis.dpi.inpe.br/,web verified - official INPE/TerraBrasilis,TerraBrasilis provides access to PRODES and DETER geographic data generated by INPE.,13,18,20,DETER,observed_in_corpus
DS-011,JRC Tropical Moist Forest maps,European Commission Joint Research Centre,tropical moist forest extent/change dataset,Tropical moist forests,https://forobs.jrc.ec.europa.eu/TMF,European Commission Joint Research Centre. (n.d.). Tropical Moist Forest maps. https://forobs.jrc.ec.europa.eu/TMF,web verified - official JRC Forest Observations,JRC Forest Observations describes long-term tracking of deforestation and degradation in tropical moist forests.,12,46,83,JRC,observed_in_corpus
DS-040,Agrosatélite mapping products,Agrosatélite,remote sensing / agricultural mapping product,Brazil / commodity-specific analyses,https://www.agrosatelite.com.br/,Agrosatélite. (n.d.). Agrosatélite. https://www.agrosatelite.com.br/,web seeded - provider-level source; exact product unresolved,Mapped where Agrosatélite is mentioned as a source or survey. Exact dataset/product often unclear and should be refined in Stage B manual review.,11,28,40,agrosatelite; Agrosatelite; Agrosatélite,observed_in_corpus
DS-021,CNUC — Cadastro Nacional de Unidades de Conservação,Ministério do Meio Ambiente e Mudança do Clima (Brazil),protected areas / conservation units registry,Brazil,https://www.gov.br/mma/pt-br/assuntos/biodiversidade-e-biomas/areas-protegidas/plataforma-cnuc-1,Ministério do Meio Ambiente e Mudança do Clima. (n.d.). Cadastro Nacional de Unidades de Conservação — CNUC. https://www.gov.br/mma/pt-br/assuntos/biodiversidade-e-biomas/areas-protegidas/plataforma-cnuc-1,web verified - official MMA,CNUC page describes official database and georeferenced data for Brazilian conservation units.,11,26,43,Conservation Units; Conservation units; conservation units; Unidades de conservação; Unidades de Conservação,observed_in_corpus
