doc_id,batch_id,file_name,title,year,authors_or_orgs,publishing_org_id,publisher,document_type,source_url,doi,apa_reference,in_text_citation,bibliography_status,notes,candidate_status,candidate_confidence,candidate_source_url,candidate_pdf_url,candidate_uploaded_pdf_match,candidate_apa_reference,candidate_notes,manual_review_next_step,previous_doc_id,apa_source_url_used,apa_source_basis,apa_completion_status
DOC-001,Batch 09,Relat_Cerrado-2022-2023_English.pdf,Cerrado Monitoring Report,2024.0,ABIOVE,ORG-001,,PDF,https://abiove.org.br/biblioteca/2023-cerrado-monitoring-report-2/,,ABIOVE. (2024). Cerrado Monitoring Report. https://abiove.org.br/biblioteca/2023-cerrado-monitoring-report-2/,"(ABIOVE, 2024)",Verified - web matched,One-to-one rerun: cleared previous candidate 'DIASCA_Forest_Monitoring_Guidance1.pdf' because it was assigned to DOC-075 as the more likely match. | Web-seeded correction: official ABIOVE PDF filename matches uploaded Batch_09/Relat_Cerrado-2022-2023_English.pdf.,official_pdf_found_matches_uploaded_pdf,High,https://abiove.org.br/biblioteca/2023-cerrado-monitoring-report-2/,https://abiove.org.br/abiove_content/Abiove/Relat_Cerrado-2022-2023_English.pdf,Batch_09/Relat_Cerrado-2022-2023_English.pdf,ABIOVE. (2024). Cerrado Monitoring Report.,Official ABIOVE Cerrado Monitoring page/source found; uploaded PDF filename exactly matches official PDF filename from ABIOVE content path. Populate as unique match candidate.,Confirm match and move from unmatched inventory to verified B1 record.,DOC-001,https://abiove.org.br/biblioteca/2023-cerrado-monitoring-report-2/,source_url,APA complete - public source URL
DOC-002,Batch 06,Cartilha-de-Criterios-Socioambientais-Fasciculo-III-Ingles-compressed.pdf,Socio-Environmental Criteria; Library,2024.0,ABIOVE,ORG-001,,PDF,https://abiove.org.br/abiove_content/Abiove/Cartilha-de-Criterios-Socioambientais-Fasciculo-III-Ingles-compressed.pdf,,ABIOVE. (2024). Socio-Environmental Criteria; Library. https://abiove.org.br/abiove_content/Abiove/Cartilha-de-Criterios-Socioambientais-Fasciculo-III-Ingles-compressed.pdf,"(ABIOVE, 2024)",Verified,Reconciliation: High URL filename score=1.0; title_score=0.478. | One-to-one rerun: retained as the unique assignment for this PDF.,,,,,,,,,DOC-002,https://abiove.org.br/abiove_content/Abiove/Cartilha-de-Criterios-Socioambientais-Fasciculo-III-Ingles-compressed.pdf,source_url,APA complete - public source URL
DOC-003,Batch 06,Relatorio-Moratoria-da-Soja_2022-23.pdf,MORATÓRIA DA SOJA Desmatamento-zero na Amazônia Monitoramento da soja por imagens de satélites SAFRA 2022/23,2022.0,ABIOVE,ORG-001,,PDF,https://abiove.org.br/abiove_content/Abiove/Relatorio-Moratoria-da-Soja_2022-23.pdf,,ABIOVE. (2022). MORATÓRIA DA SOJA Desmatamento-zero na Amazônia Monitoramento da soja por imagens de satélites SAFRA 2022/23. https://abiove.org.br/abiove_content/Abiove/Relatorio-Moratoria-da-Soja_2022-23.pdf,"(ABIOVE, 2022)",Verified,Reconciliation: High URL filename score=1.0; title_score=1.0. | One-to-one rerun: retained as the unique assignment for this PDF.,,,,,,,,,DOC-046,https://abiove.org.br/abiove_content/Abiove/Relatorio-Moratoria-da-Soja_2022-23.pdf,source_url,APA complete - public source URL
DOC-004,Batch 08,OG_Monitoring_Verification-2020-5.pdf,Operational Guidance: Monitoring & Verification,2020.0,Accountability Framework initiative (AFi),ORG-002,,PDF,https://accountability-framework.org/fileadmin/uploads/afi/Documents/Operational_Guidance/OG_Monitoring_Verification-2020-5.pdf,,Accountability Framework initiative. (2020). Operational Guidance: Monitoring & Verification. https://accountability-framework.org/fileadmin/uploads/afi/Documents/Operational_Guidance/OG_Monitoring_Verification-2020-5.pdf,"(Accountability Framework initiative, 2020)",Verified,"Reconciliation: High URL filename score=1.0; title_score=0.144. URL/filename match, but APA title appears inconsistent with PDF title; manual review recommended | One-to-one rerun: retained as the unique assignment for this PDF.",,,,,,,,,DOC-003,https://accountability-framework.org/fileadmin/uploads/afi/Documents/Operational_Guidance/OG_Monitoring_Verification-2020-5.pdf,source_url,APA complete - public source URL
DOC-005,Batch 08,OG_Supply_Chain_Management-2020-5.pdf,Operational Guidance: Supply Chain Management,2020.0,Accountability Framework initiative (AFi),ORG-002,,PDF,https://accountability-framework.org/fileadmin/uploads/afi/Documents/Operational_Guidance/OG_Supply_Chain_Management-2020-5.pdf,,Accountability Framework initiative. (2020). Operational Guidance: Supply Chain Management. https://accountability-framework.org/fileadmin/uploads/afi/Documents/Operational_Guidance/OG_Supply_Chain_Management-2020-5.pdf,"(Accountability Framework initiative, 2020)",Verified,Reconciliation: High URL filename score=1.0; title_score=0.345. | One-to-one rerun: retained as the unique assignment for this PDF.,,,,,,,,,DOC-004,https://accountability-framework.org/fileadmin/uploads/afi/Documents/Operational_Guidance/OG_Supply_Chain_Management-2020-5.pdf,source_url,APA complete - public source URL
DOC-006,Batch 09,Traceability-Accountability-Framework.pdf,Traceability,2021.0,Accountability Framework initiative (AFi),ORG-002,,PDF,https://accountability-framework.org/fileadmin/uploads/afi/Documents/Traceability-Accountability-Framework.pdf,,Accountability Framework initiative. (2021). Traceability. https://accountability-framework.org/fileadmin/uploads/afi/Documents/Traceability-Accountability-Framework.pdf,"(Accountability Framework initiative, 2021)",Verified,"Reconciliation: High URL filename score=1.0; title_score=0.068. URL/filename match, but APA title appears inconsistent with PDF title; manual review recommended | One-to-one rerun: retained as the unique assignment for this PDF.",,,,,,,,,DOC-005,https://accountability-framework.org/fileadmin/uploads/afi/Documents/Traceability-Accountability-Framework.pdf,source_url,APA complete - public source URL
DOC-007,Batch 08,AFI LUC and Emissions Guidance 09_2022_FINALIZED FROM AFi.pdf,AFI LUC and Emissions Guidance 09 2022 FINALIZED FROM AFi,2022.0,Accountability Framework initiative (AFi),ORG-002,,PDF,https://accountability-framework.org/wp-content/uploads/2022/09/AFI-LUC-and-Emissions-Guidance-09_2022.pdf,,Accountability Framework initiative. (2022). AFI LUC and Emissions Guidance 09 2022 FINALIZED FROM AFi. https://accountability-framework.org/wp-content/uploads/2022/09/AFI-LUC-and-Emissions-Guidance-09_2022.pdf,"(Accountability Framework initiative, 2022)",Verified,,,,,,,,,,,https://accountability-framework.org/wp-content/uploads/2022/09/AFI-LUC-and-Emissions-Guidance-09_2022.pdf,web_verified_or_official_filename_url_map,APA complete - public source URL
DOC-008,Batch 08,AFi Operational Guidance - Smallholder Inclusion (2020-05).pdf,AFi Operational Guidance Smallholder Inclusion (2020 05),2020.0,Accountability Framework initiative (AFi),ORG-002,,PDF,https://accountability-framework.org/the-accountability-framework/download-the-full-framework/,,Accountability Framework initiative. (2020). AFi Operational Guidance Smallholder Inclusion (2020 05). https://accountability-framework.org/the-accountability-framework/download-the-full-framework/,"(Accountability Framework initiative, 2020)",Verified,,,,,,,,,,,https://accountability-framework.org/the-accountability-framework/download-the-full-framework/,web_verified_or_official_filename_url_map,APA complete - public source URL
DOC-009,Batch 08,AFi Operatonal Guidance - Cutoff Dates (2023-09).pdf,AFi Operatonal Guidance Cutoff Dates (2023 09),2023.0,Accountability Framework initiative (AFi),ORG-002,,PDF,https://accountability-framework.org/the-accountability-framework/download-the-full-framework/,,Accountability Framework initiative. (2023). AFi Operatonal Guidance Cutoff Dates (2023 09). https://accountability-framework.org/the-accountability-framework/download-the-full-framework/,"(Accountability Framework initiative, 2023)",Verified,,,,,,,,,,,https://accountability-framework.org/the-accountability-framework/download-the-full-framework/,web_verified_or_official_filename_url_map,APA complete - public source URL
DOC-010,Batch 07,TerraFund MRV Feb 2023 (Updated July 2024).pdf,TerraFund MRV Feb 2023 (Updated July 2024),2023.0,AFR100 Terra-Fund,ORG-003,,PDF,https://afr100.org/sites/default/files/2024-08/TerraFund%20MRV%20Feb%202023%20%28Updated%20July%202024%29.pdf,,AFR100 / TerraFund for AFR100. (2023). TerraFund MRV Feb 2023 (Updated July 2024). https://afr100.org/sites/default/files/2024-08/TerraFund%20MRV%20Feb%202023%20%28Updated%20July%202024%29.pdf,"(AFR100 / TerraFund for AFR100, 2023)",Verified,,,,,,,,,,,https://afr100.org/sites/default/files/2024-08/TerraFund%20MRV%20Feb%202023%20%28Updated%20July%202024%29.pdf,web_verified_or_official_filename_url_map,APA complete - public source URL
