doc_id,batch_id,file_name,title,year,authors_or_orgs,publishing_org_id,document_type,source_url,apa_reference,text_extraction_status,page_count,extracted_char_count,pdf_path,path_basis,protocol_inclusion
DOC-001,Batch 09,Relat_Cerrado-2022-2023_English.pdf,Cerrado Monitoring Report,2024.0,ABIOVE,ORG-001,PDF,https://abiove.org.br/biblioteca/2023-cerrado-monitoring-report-2/,ABIOVE. (2024). Cerrado Monitoring Report. https://abiove.org.br/biblioteca/2023-cerrado-monitoring-report-2/,extracted,44.0,83540,/mnt/data/_corpus_extracted/Batch 07/Relat_Cerrado-2022-2023_English.pdf,multi_filename_first_fallback,counted_in_v1.3
DOC-002,Batch 06,Cartilha-de-Criterios-Socioambientais-Fasciculo-III-Ingles-compressed.pdf,Socio-Environmental Criteria; Library,2024.0,ABIOVE,ORG-001,PDF,https://abiove.org.br/abiove_content/Abiove/Cartilha-de-Criterios-Socioambientais-Fasciculo-III-Ingles-compressed.pdf,ABIOVE. (2024). Socio-Environmental Criteria; Library. https://abiove.org.br/abiove_content/Abiove/Cartilha-de-Criterios-Socioambientais-Fasciculo-III-Ingles-compressed.pdf,extracted,16.0,23442,/mnt/data/_corpus_extracted/Batch 06/Cartilha-de-Criterios-Socioambientais-Fasciculo-III-Ingles-compressed.pdf,batch_file_exact,counted_in_v1.3
DOC-003,Batch 06,Relatorio-Moratoria-da-Soja_2022-23.pdf,MORATÓRIA DA SOJA Desmatamento-zero na Amazônia Monitoramento da soja por imagens de satélites SAFRA 2022/23,2022.0,ABIOVE,ORG-001,PDF,https://abiove.org.br/abiove_content/Abiove/Relatorio-Moratoria-da-Soja_2022-23.pdf,ABIOVE. (2022). MORATÓRIA DA SOJA Desmatamento-zero na Amazônia Monitoramento da soja por imagens de satélites SAFRA 2022/23. https://abiove.org.br/abiove_content/Abiove/Relatorio-Moratoria-da-Soja_2022-23.pdf,extracted,68.0,104320,/mnt/data/_corpus_extracted/Batch 06/Relatorio-Moratoria-da-Soja_2022-23.pdf,batch_file_exact,counted_in_v1.3
DOC-004,Batch 08,OG_Monitoring_Verification-2020-5.pdf,Operational Guidance: Monitoring & Verification,2020.0,Accountability Framework initiative (AFi),ORG-002,PDF,https://accountability-framework.org/fileadmin/uploads/afi/Documents/Operational_Guidance/OG_Monitoring_Verification-2020-5.pdf,Accountability Framework initiative. (2020). Operational Guidance: Monitoring & Verification. https://accountability-framework.org/fileadmin/uploads/afi/Documents/Operational_Guidance/OG_Monitoring_Verification-2020-5.pdf,extracted,56.0,112139,/mnt/data/_corpus_extracted/Batch 08/OG_Monitoring_Verification-2020-5.pdf,batch_file_exact,counted_in_v1.3
DOC-005,Batch 08,OG_Supply_Chain_Management-2020-5.pdf,Operational Guidance: Supply Chain Management,2020.0,Accountability Framework initiative (AFi),ORG-002,PDF,https://accountability-framework.org/fileadmin/uploads/afi/Documents/Operational_Guidance/OG_Supply_Chain_Management-2020-5.pdf,Accountability Framework initiative. (2020). Operational Guidance: Supply Chain Management. https://accountability-framework.org/fileadmin/uploads/afi/Documents/Operational_Guidance/OG_Supply_Chain_Management-2020-5.pdf,extracted,35.0,65429,/mnt/data/_corpus_extracted/Batch 08/OG_Supply_Chain_Management-2020-5.pdf,batch_file_exact,counted_in_v1.3
DOC-006,Batch 09,Traceability-Accountability-Framework.pdf,Traceability,2021.0,Accountability Framework initiative (AFi),ORG-002,PDF,https://accountability-framework.org/fileadmin/uploads/afi/Documents/Traceability-Accountability-Framework.pdf,Accountability Framework initiative. (2021). Traceability. https://accountability-framework.org/fileadmin/uploads/afi/Documents/Traceability-Accountability-Framework.pdf,extracted,5.0,5140,/mnt/data/_corpus_extracted/Batch 09/Traceability-Accountability-Framework.pdf,batch_file_exact,counted_in_v1.3
DOC-007,Batch 08,AFI LUC and Emissions Guidance 09_2022_FINALIZED FROM AFi.pdf,AFI LUC and Emissions Guidance 09 2022 FINALIZED FROM AFi,2022.0,Accountability Framework initiative (AFi),ORG-002,PDF,https://accountability-framework.org/wp-content/uploads/2022/09/AFI-LUC-and-Emissions-Guidance-09_2022.pdf,Accountability Framework initiative. (2022). AFI LUC and Emissions Guidance 09 2022 FINALIZED FROM AFi. https://accountability-framework.org/wp-content/uploads/2022/09/AFI-LUC-and-Emissions-Guidance-09_2022.pdf,extracted,51.0,103510,/mnt/data/_corpus_extracted/Batch 08/AFI LUC and Emissions Guidance 09_2022_FINALIZED FROM AFi.pdf,batch_file_exact,counted_in_v1.3
DOC-008,Batch 08,AFi Operational Guidance - Smallholder Inclusion (2020-05).pdf,AFi Operational Guidance Smallholder Inclusion (2020 05),2020.0,Accountability Framework initiative (AFi),ORG-002,PDF,https://accountability-framework.org/the-accountability-framework/download-the-full-framework/,Accountability Framework initiative. (2020). AFi Operational Guidance Smallholder Inclusion (2020 05). https://accountability-framework.org/the-accountability-framework/download-the-full-framework/,extracted,27.0,51785,/mnt/data/_corpus_extracted/Batch 08/AFi Operational Guidance - Smallholder Inclusion (2020-05).pdf,batch_file_exact,counted_in_v1.3
DOC-009,Batch 08,AFi Operatonal Guidance - Cutoff Dates (2023-09).pdf,AFi Operatonal Guidance Cutoff Dates (2023 09),2023.0,Accountability Framework initiative (AFi),ORG-002,PDF,https://accountability-framework.org/the-accountability-framework/download-the-full-framework/,Accountability Framework initiative. (2023). AFi Operatonal Guidance Cutoff Dates (2023 09). https://accountability-framework.org/the-accountability-framework/download-the-full-framework/,extracted,13.0,19507,/mnt/data/_corpus_extracted/Batch 08/AFi Operatonal Guidance - Cutoff Dates (2023-09).pdf,batch_file_exact,counted_in_v1.3
DOC-010,Batch 07,TerraFund MRV Feb 2023 (Updated July 2024).pdf,TerraFund MRV Feb 2023 (Updated July 2024),2023.0,AFR100 Terra-Fund,ORG-003,PDF,https://afr100.org/sites/default/files/2024-08/TerraFund%20MRV%20Feb%202023%20%28Updated%20July%202024%29.pdf,AFR100 / TerraFund for AFR100. (2023). TerraFund MRV Feb 2023 (Updated July 2024). https://afr100.org/sites/default/files/2024-08/TerraFund%20MRV%20Feb%202023%20%28Updated%20July%202024%29.pdf,extracted,48.0,82841,/mnt/data/_corpus_extracted/Batch 07/TerraFund MRV Feb 2023 (Updated July 2024).pdf,batch_file_exact,counted_in_v1.3
