dataset_id,preferred_dataset_name,source_url,source_basis,web_verification_status
DS-007,Global Forest Watch,https://www.globalforestwatch.org/,"Official GFW site describes forest monitoring, alerts, dashboards, and downloadable datasets.",web verified - official GFW/WRI
DS-017,Planet satellite imagery / NICFI Satellite Data Program,https://www.planet.com/nicfi/,Grouped for Planet/NICFI imagery references; exact Planet product should be refined where the corpus states it.,web seeded - official provider page recommended
DS-001,PRODES Amazônia — Monitoramento do Desmatamento da Floresta Amazônica Brasileira por Satélite,https://terrabrasilis.dpi.inpe.br/,Official TerraBrasilis/INPE source; PRODES monitors clear-cut deforestation and provides annual rates.,web verified - official INPE/TerraBrasilis
DS-008,Hansen Global Forest Change,https://developers.google.com/earth-engine/datasets/catalog/UMD_hansen_global_forest_change_2024_v1_12,"Google Earth Engine catalog identifies provider, bands, pixel size, and temporal extent.",web verified - Google Earth Engine catalog
DS-005,MapBiomas Annual Land Cover and Land Use Collection,https://brasil.mapbiomas.org/en/colecoes-mapbiomas/,MapBiomas annual land use/land cover collections are published as a time series and commonly cited by collection.,web verified - public MapBiomas source
DS-014,Landsat satellite imagery,https://www.usgs.gov/landsat-missions,"Widely used satellite-image source; official source URL retained for Stage B, but exact product/version should be refined if needed.",web seeded - official provider page recommended
DS-026,Trase / SEI-PCS supply chain mapping data,https://trase.earth/,SEI describes Trase as a data-driven transparency initiative using SEI-PCS to map supply chains.,web verified - SEI/Trase methodology pages
DS-018,Cadastro Ambiental Rural (CAR) / SICAR,https://www.car.gov.br/,CAR/SICAR is the Brazilian national rural environmental registry; public service pages describe it as a national electronic registry and platform.,web verified - Government of Brazil service pages
DS-025,Soy Moratorium monitoring data,https://moratoriadasoja.com.br/,Mentions of Soy Moratorium/Amazon Soy Moratorium are harmonized to the public initiative and its monitoring outputs.,web seeded - public initiative source recommended
DS-020,FUNAI Terras Indígenas geospatial data,https://www.gov.br/funai/pt-br/atuacao/terras-indigenas/geoprocessamento-e-mapas,FUNAI page provides geospatial data for Indigenous lands in multiple formats and notes periodic updates.,web verified - official FUNAI
